DATE,PRODUCT_ID,QUANTITY
2020-11-30,326726608,1
2020-01-06,334009500,4
2020-08-17,334009500,2
2020-03-17,334009500,1
2020-09-21,334009500,1
2020-11-21,334009500,1
2020-08-24,334009500,1
2020-05-25,334009500,2
2020-05-05,334006896,1
2020-04-29,341257331,2
2020-01-27,341257331,1
2020-11-18,341257331,1
2020-10-28,285077581,1
2020-09-02,285077581,4
2020-09-18,285077581,1
2020-03-25,285077581,1
2020-10-22,285077581,1
2020-06-02,309497955,1
2020-08-03,309497955,1
2020-05-16,285077581,1
2020-03-03,330214914,1
2020-02-27,330214914,1
2020-11-26,330214914,1
2020-12-01,330214914,1
2020-06-08,226001408,4
2020-08-21,226001408,1
2020-12-07,226001408,2
2020-05-26,226001408,1
2020-03-02,226001408,2
2020-07-23,252586140,3
2020-07-07,252586140,1
2020-02-26,252586140,3
2020-03-06,252586140,1
2020-04-07,252586140,1
2020-09-25,252586140,2
2020-07-14,252586140,3
2020-08-11,323851420,4
2020-08-06,323851420,1
2020-08-05,323401269,1
2020-08-27,323851420,1
2020-11-12,341257548,3
2020-05-19,341257548,14
2020-11-24,341257548,1
2020-01-28,341257548,1
2020-03-18,341257548,7
2020-09-07,341257548,3
2020-08-25,341257548,1
2020-01-17,347033530,1
2020-11-25,346226662,2
2020-07-13,323343950,4
2020-12-28,323343950,1
2020-10-15,323343950,1
2020-08-13,340477154,1
2020-09-08,338632313,3
2020-11-06,338632313,3
2020-03-30,338632313,9
2020-02-03,338632313,4
2020-03-09,338632313,1
2020-10-06,314704622,1
2020-05-25,339807802,1
2020-11-11,343938211,1
2020-03-24,328532234,6
2020-03-25,306022049,2
2020-08-14,346226724,1
2020-02-07,334009500,2
2020-12-04,334006896,1
2020-03-23,285077581,2
2020-07-17,226001408,1
2020-10-19,226001408,2
2020-06-16,226001408,1
2020-06-12,252586140,2
2020-12-16,252586140,4
2020-06-25,252586140,1
2020-07-17,252586140,2
2020-04-21,323851420,1
2020-10-26,323851420,3
2020-06-12,323851420,4
2020-02-26,323851420,1
2020-03-16,323401269,1
2020-11-26,323401269,2
2020-03-02,323401269,1
2020-07-15,323401269,1
2020-10-12,349928496,1
2020-03-16,341257548,15
2020-06-25,341257548,3
2020-04-29,341257548,4
2020-08-20,341257548,4
2020-11-20,341257548,1
2020-01-03,341257548,1
2020-02-18,341257548,1
2020-06-22,341257548,1
2020-05-25,347033530,1
2020-05-11,343249515,2
2020-05-29,330340991,1
2020-12-11,349928186,1
2020-01-15,346226662,1
2020-02-24,323343950,4
2020-02-05,323343950,3
2020-08-03,323343950,7
2020-06-04,323343950,4
2020-01-29,323343950,2
2020-11-24,323343950,1
2020-06-09,323343950,1
2020-01-29,340477154,1
2020-05-25,340477154,1
2020-05-20,338632313,2
2020-12-14,338632313,1
2020-06-09,338632313,2
2020-09-10,338632313,1
2020-08-10,340154134,1
2020-07-20,340154134,1
2020-01-08,340154134,1
2020-06-24,57996815,1
2020-03-09,57996815,1
2020-05-14,330221734,1
2020-11-16,341251503,1
2020-12-15,237696716,1
2020-06-30,346872051,1
2020-11-17,332507023,1
2020-02-03,332507023,1
2020-09-21,332507023,1
2020-09-07,343938211,7
2020-08-31,343938211,4
2020-03-31,343938211,1
2020-09-21,343938211,7
2020-08-21,343938211,3
2020-05-12,343938211,3
2020-05-20,343938211,2
