DATE,PRODUCT_ID,QUANTITY
2020-01-18,341844533,8
2020-03-26,316010280,1
2020-06-08,316010280,1
2020-01-03,319993687,1
2020-06-19,319993687,3
2020-09-29,319993687,1
2020-10-02,319993687,1
2020-06-09,319993687,3
2020-04-25,319993687,1
2020-01-27,319993687,1
2020-04-02,346409810,1
2020-06-17,309530691,1
2020-10-23,309530691,1
2020-08-06,309530691,3
2020-07-27,309530691,1
2020-01-08,309530691,1
2020-10-13,309530691,2
2020-06-10,310251565,1
2020-03-19,310251565,1
2020-09-19,310251565,1
2020-01-22,322127975,1
2020-12-08,322127975,1
2020-06-19,322127975,1
2020-01-20,341257858,14
2020-06-16,341257858,1
2020-01-31,341257858,1
2020-10-06,341257858,1
2020-09-18,106752189,1
2020-03-16,106752189,3
2020-08-24,106752189,1
2020-02-14,106752189,1
2020-06-02,323347143,1
2020-01-08,333820927,1
2020-08-05,333820927,1
2020-12-18,330383213,2
2020-01-22,305759913,1
2020-04-06,319791009,2
2020-07-30,319791009,2
2020-03-12,323342679,1
2020-10-28,323342679,1
2020-09-15,346342199,3
2020-02-05,346342199,2
2020-09-04,318511019,3
2020-10-16,344977672,2
2020-03-19,344977672,1
2020-04-08,344977672,1
2020-06-29,323083457,1
2020-05-25,323505677,1
2020-10-30,338867479,8
2020-11-04,338867479,6
2020-07-14,338867479,1
2020-06-09,338867479,1
2020-06-09,314217767,1
2020-04-29,346455752,1
2020-02-05,130921370,1
2020-06-08,130921370,2
2020-01-19,130921370,1
2020-02-05,347134590,1
2020-01-13,332630620,4
2020-09-08,319857070,2
2020-03-13,346408322,1
2020-08-03,309500900,1
2020-08-07,309530691,3
2020-04-16,309530691,2
2020-04-21,309530691,1
2020-10-01,310251565,1
2020-09-29,322127975,1
2020-01-20,341844440,10
2020-09-24,341844440,1
2020-10-28,341257858,1
2020-05-27,326960534,1
2020-09-01,106752189,2
2020-11-17,323347143,1
2020-04-22,333820927,1
2020-06-30,333820927,1
2020-11-13,330382965,1
2020-02-04,330382965,1
2020-06-15,330383213,1
2020-11-25,330383213,1
2020-12-03,330383213,1
2020-11-30,330383213,1
2020-06-09,319791009,1
2020-08-04,319791009,4
2020-12-17,319791009,1
2020-01-20,323342679,1
2020-12-17,323342679,1
2020-05-07,345294244,2
2020-05-13,291341813,1
2020-05-14,291341813,1
2020-01-23,322261182,1
2020-02-03,328045410,1
2020-10-16,346342199,1
2020-08-13,346342199,1
2020-07-11,318511019,1
2020-08-13,318511019,3
2020-02-21,318511019,3
2020-05-11,318511019,2
2020-09-24,350534732,1
2020-02-15,323505677,1
2020-06-23,345242257,1
2020-08-22,345242257,2
2020-02-18,345242257,1
2020-04-08,345242257,1
2020-06-22,323083457,1
2020-08-10,345294244,1
2020-09-16,318511019,2
2020-01-17,318511019,1
2020-11-23,323505677,1
2020-03-12,346342199,1
2020-01-14,318511019,4
2020-01-22,338867479,7
2020-06-19,338867479,8
2020-03-19,338867479,4
2020-10-12,338867479,3
2020-01-30,338867479,1
2020-12-02,338867479,3
2020-08-26,338867479,2
2020-11-07,335592608,1
2020-02-19,252110631,1
2020-05-19,309499598,1
2020-01-21,309499598,1
2020-01-03,331615835,1
2020-08-04,339447334,1
2020-09-04,109357553,1
2020-06-10,341651310,1
2020-08-17,341651310,1
2020-08-18,109344781,1
2020-10-12,339663776,2
2020-05-08,339663776,4
2020-08-25,339663776,1
2020-03-30,339663776,2
2020-03-31,339663776,1
2020-12-07,328532265,1
2020-09-07,217454336,1
2020-08-18,217454336,1
2020-09-28,217454336,1
2020-01-28,130921370,1
2020-05-09,130921370,1
2020-03-23,344209461,3
2020-09-09,344209461,1
2020-09-04,344209461,2
2020-12-04,344209461,2
2020-09-29,341468813,1
2020-07-27,349009191,1
2020-07-16,323025425,1
2020-06-23,343848528,1
2020-09-10,332630620,3
2020-11-03,332630620,1
2020-08-12,319857070,1
2020-08-24,339882109,2
2020-11-04,342456070,1
2020-01-31,339882109,1
2020-10-21,330383306,1
2020-02-11,330383306,1
2020-03-09,346408322,1
2020-02-13,109020583,1
2020-06-01,309500900,1
2020-01-13,87486216,1
2020-03-27,106752189,1
2020-04-30,323347143,1
2020-05-20,323347143,1
2020-02-24,333820927,1
2020-05-08,333820927,1
2020-09-03,346343067,1
2020-02-28,323342679,1
2020-08-13,328045410,2
2020-03-26,318511019,1
2020-08-17,318511019,1
2020-10-23,344977672,1
2020-12-15,323505677,1
2020-11-15,323505677,1
2020-07-29,323505677,1
2020-06-26,323083457,2
2020-12-21,345294244,1
2020-09-13,318511019,1
2020-09-24,344977672,2
2020-11-26,338867479,4
2020-11-18,338867479,3
2020-03-25,338867479,3
2020-01-16,338867479,2
2020-01-07,338867479,1
2020-04-28,305478247,1
2020-10-05,305478247,1
2020-01-20,35976275,1
2020-12-03,314217767,1
2020-03-24,345454328,1
2020-08-31,252110631,2
2020-11-05,252110631,1
2020-12-01,319823559,1
2020-11-20,347134652,1
2020-09-03,348045370,2
2020-10-09,109357553,1
2020-08-06,341651310,2
2020-05-25,339663776,1
2020-03-20,339663776,1
2020-02-21,339663776,1
2020-06-25,339663776,3
2020-09-09,36233916,3
2020-11-25,36233916,1
2020-11-05,217454336,3
2020-08-04,217454336,2
2020-05-25,217454336,1
