PRODUCT_ID*31,MANUFACTURER,MAIN_CATEGORY
338433045,Denon,Audio & Hifi
323399595,Pentax,Kameras
329469240,Sony,Handy
162823563,Sony,Tablets
319950504,TomTom,Wearables
322261368,JBL,Audio & Hifi
333820741,Garmin,Wearables
345032325,Apple,Laptop
252594789,Apple,Tablets
354170753,Canon,Kameras
285230318,HTC,Handy
348948059,Huawei,Handy
322582280,Canon,Kameras
323853652,Apple,Laptop
349928558,Lenovo,Handy
354154106,OnePlus,Handy
353300893,Lenovo,Tablets
291341751,Olympus,Kameras
353461101,Garmin,Wearables
318186015,Apple,Apple
145432346,Canon,Kameras
341257145,Apple,Handy
346228522,Apple,Wearables
341470611,Microsoft,Konsolen
323347329,Bose,Audio & Hifi
318511918,Apple,Handy
251875806,Pentax,Kameras
340130512,Apple,Apple
333425801,Libratone,Audio & Hifi
330937028,Samsung,Handy
328046557,Nokia,Handy
378185492,Samsung,Handy
313138719,Fujifilm,Kameras
291174103,Huawei,Handy
346226879,Apple,Handy
330220153,Teufel,Audio & Hifi
346408105,Sony,Handy
323344353,Apple,Handy
380434077,Apple,Laptop
380428280,Apple,Laptop
339808329,Apple,Laptop
380428714,Apple,Laptop
337148188,Apple,Laptop
319251020,Nikon,Kameras
333470348,HouseofMarley,Audio & Hifi
380172406,Apple,Wearables
338867510,Huawei,Handy
305546478,Microsoft,Tablets
353952978,Samsung,Handy
380430667,Apple,Laptop
380434759,Apple,Laptop
380342472,Google,Handy
347137101,LG,Handy
353953319,Samsung,Handy
336331121,Samsung,Handy
353814439,Apple,Laptop
347851000,OnePlus,Handy
380437301,Apple,Laptop
353117621,Huawei,Handy
285261659,Apple,Laptop
340380651,Acer,Tablets
319850126,Samsung,Handy
354192546,Apple,Laptop
380436898,Apple,Laptop
380227338,Apple,Wearables
380431411,Apple,Laptop
363988577,Samsung,Handy
319341881,Fujifilm,Kameras
352765802,Samsung,Handy
337448299,Apple,Laptop
352781364,Apple,Laptop
350531198,Samsung,Handy
380223525,Apple,Wearables
337147940,Apple,Laptop
327614696,Panasonic,Kameras
382272284,Apple,Laptop
273249934,Canon,Kameras
350777369,Panasonic,Kameras
327666156,Canon,Kameras
346003245,fitbit,Wearables
330214697,BeatsElectronics,Audio & Hifi
2202054,Sony,Konsolen
309490546,Canon,Kameras
319950008,TomTom,Wearables
291340914,Nikon,Kameras
291342805,Sony,Kameras
290524033,Samsung,Tablets
318709512,Canon,Kameras
341501797,Nokia,Handy
349928310,Huawei,Handy
339513333,Sony,Konsolen
323407500,Google,Handy
319954658,Garmin,Wearables
329967317,Lenovo,Handy
340411775,Amazon,Audio & Hifi
57811807,Apple,Apple
326726112,HTC,Handy
318177180,Apple,Apple
188509574,Tamron,Kameras
343543271,Sony,Audio & Hifi
346630716,Nokia,Handy
350087712,Samsung,Handy
330218975,Bose,Audio & Hifi
341424700,Nikon,Kameras
326880709,Apple,Laptop
322261244,JBL,Audio & Hifi
340149329,HTC,Handy
354170133,Apple,Tablets
319935407,Huawei,Tablets
344891833,Apple,Apple
332893655,BeatsbyDrDre,Audio & Hifi
341257393,Apple,Handy
95612897,Apple,Laptop
283560720,Huawei,Handy
319215959,Canon,Kameras
343543333,Sony,Audio & Hifi
340423617,Samsung,Handy
341320881,Apple,Wearables
319911506,Acer,Tablets
378702541,Apple,Handy
328532203,Apple,Tablets
55047971,Apple,Apple
319951403,TomTom,Wearables
327616246,Sony,Konsolen
332445209,BangOlufsen,Audio & Hifi
308118114,Panasonic,Kameras
330215131,Bose,Audio & Hifi
319996012,Apple,Apple
353910508,Samsung,Audio & Hifi
326725988,Kobo,Tablets
335723397,Huawei,Handy
319845042,Apple,Wearables
309496808,Sigma,Kameras
333205639,Huawei,Handy
348661309,Apple,Tablets
323342617,Apple,Wearables
352334437,Apple,Wearables
338043003,OnePlus,Handy
342635529,Libratone,Audio & Hifi
322154232,Nikon,Kameras
353460574,Garmin,Wearables
189714978,Samsung,Tablets
291051033,Pentax,Kameras
322134609,Panasonic,Kameras
324023160,Sony,Handy
330385693,Apple,Laptop
326726174,HTC,Handy
327219973,Apple,Laptop
353814036,Samsung,Wearables
237993293,Canon,Kameras
98978877,HTC,Handy
338434192,Panasonic,Audio & Hifi
338271442,Garmin,Wearables
342151774,Garmin,Wearables
106973033,Canon,Kameras
230495509,Canon,Kameras
344449742,Google,Handy
334362993,Samsung,Handy
94654253,Sony,Konsolen
319318848,ASUSTeKCOMPUTER,Tablets
252715627,ASUSTeKCOMPUTER,Tablets
346224058,BeatsElectronics,Audio & Hifi
334676527,Apple,Laptop
315594260,Apple,Wearables
338171498,TomTom,Wearables
231862826,Canon,Kameras
339008653,Apple,Apple
378185337,Garmin,Wearables
309660612,Nikon,Kameras
61380,Sony,Konsolen
348849882,Huawei,Wearables
354170660,Apple,Tablets
332840366,UltimateEars,Audio & Hifi
276689043,LG,Handy
319891573,Sigma,Kameras
319790668,Apple,Tablets
328752396,Huawei,Wearables
335872693,Bose,Audio & Hifi
341424607,GoPro,Kameras
349007672,Apple,Apple
323350894,,Kameras
324054191,fitbit,Wearables
344066520,Apple,Audio & Hifi
345185651,Samsung,Handy
353954063,Amazon,Audio & Hifi
328045472,Huawei,Handy
338156773,Sigma,Kameras
346455659,Microsoft,Tablets
349869720,Apple,Laptop
330341022,BangOlufsen,Audio & Hifi
319869129,Pentax,Kameras
242584765,OnePlus,Handy
292410941,ASUSTeKCOMPUTER,Tablets
337147537,Apple,Laptop
339973652,Garmin,Wearables
108575392,Canon,Kameras
275074904,Apple,Laptop
348047292,Huawei,Handy
345448903,Apple,Laptop
334363489,Google,Handy
380172375,Apple,Wearables
354191058,Apple,Laptop
341056854,Apple,Laptop
380435007,Apple,Laptop
380223370,Apple,Wearables
232294718,TrekStor,Tablets
350321793,Huawei,Tablets
354148619,Microsoft,Tablets
380224331,Apple,Wearables
345449058,Apple,Laptop
345242288,Apple,Laptop
380441207,Apple,Laptop
348659945,Huawei,Handy
342405323,BangOlufsen,Audio & Hifi
346452962,Apple,Laptop
352415254,Apple,Wearables
89254859,ZTE,Handy
350667102,Samsung,Handy
350087464,Huawei,Handy
380429334,Apple,Laptop
337448857,Apple,Laptop
342000804,Apple,Laptop
354229529,Apple,Laptop
322124410,Samsung,Kameras
340263719,Nikon,Kameras
352664432,Panasonic,Kameras
354158415,Microsoft,Tablets
327441313,Microsoft,Tablets
380434945,Apple,Laptop
338434719,Teufel,Audio & Hifi
380435596,Apple,Laptop
323031811,Microsoft,Konsolen
343939544,Xiaomi,Handy
380439161,Apple,Laptop
380440866,Apple,Laptop
378188034,Samsung,Handy
344342017,Microsoft,Konsolen
349008013,Huawei,Wearables
380439192,Apple,Laptop
380228144,Apple,Wearables
341055242,Samsung,Handy
378703130,Apple,Handy
346455566,Microsoft,Tablets
338437075,Vifa,Audio & Hifi
319995454,Apple,Tablets
2166342,Apple,Apple
319842438,Apple,Wearables
340345373,Philips,Audio & Hifi
322154325,Nikon,Kameras
342988371,Nokia,Handy
353096231,Samsung,Wearables
323249524,Samsung,Handy
345353671,Apple,Apple
341844192,Apple,Tablets
328042062,LGElectronics,Handy
378702076,Apple,Handy
323505770,Apple,Tablets
309679863,Canon,Kameras
322157332,Fujifilm,Kameras
350386273,Microsoft,Tablets
1903431,Sony,Konsolen
341321036,Apple,Wearables
307820545,Sony,Kameras
322573755,Samsung,Tablets
291587860,Nikon,Kameras
343748181,Sony,Handy
347625599,Fairphone,Handy
345454297,Samsung,Handy
241147450,LGElectronics,Handy
322154542,Nikon,Kameras
353459799,Garmin,Wearables
340379380,Klipsch,Audio & Hifi
344977331,Huawei,Handy
338437354,ZTE,Handy
341844099,Apple,Tablets
323025518,Samsung,Wearables
319795504,HTC,Handy
342272302,Marshall,Audio & Hifi
350787072,Samsung,Handy
336271663,Sony,Konsolen
283422646,Sony,Handy
319876538,Tamron,Kameras
353910353,Samsung,Audio & Hifi
345038773,Apple,Laptop
41083866,Sony,Konsolen
328046402,Nokia,Handy
319952767,fitbit,Wearables
350531136,Apple,Electronic Accessories
291343270,Sony,Kameras
353098649,Huawei,Tablets
330211225,Apple,Laptop
327402408,Lenovo,Tablets
340423524,Samsung,Handy
352780465,Apple,Laptop
95523896,Nokia,Handy
319975335,Sony,Handy
252590294,Apple,Tablets
319186819,Huawei,Tablets
319868943,Pentax,Kameras
346228646,Apple,Handy
332538147,Apple,Handy
267720216,Nikon,Kameras
322263941,Sony,Kameras
252906959,Nintendo,Konsolen
330340123,BangOlufsen,Audio & Hifi
339219143,audiotechnica,Audio & Hifi
281669007,NVIDIA,Tablets
378184810,Samsung,Wearables
319910979,Samsung,Tablets
318711248,Canon,Kameras
35978011,Apple,Apple
353096200,Samsung,Wearables
260258423,Nokia,Handy
354170071,Apple,Tablets
352333104,Apple,Wearables
31707482,Sony,Konsolen
305746738,HTC,Handy
353962216,Microsoft,Tablets
343409506,Canon,Kameras
